Date,Rate
2002-03-19,1.670
2002-03-20,1.780
2002-03-21,1.740
2002-03-22,1.680
2002-03-23,1.680
2002-03-24,1.680
2002-03-25,1.750
2002-03-26,1.710
2002-03-27,1.690
2002-03-28,1.770
2002-03-29,1.740
2002-03-30,1.740
2002-03-31,1.740
2002-04-01,1.880
2002-04-02,1.740
2002-04-03,1.810
2002-04-04,1.740
2002-04-05,1.700
2002-04-06,1.700
2002-04-07,1.700
2002-04-08,1.720
2002-04-09,1.680
2002-04-10,1.730
2002-04-11,1.830
2002-04-12,1.790
2002-04-13,1.790
2002-04-14,1.790
2002-04-15,1.840
2002-04-16,1.680
2002-04-17,1.730
2002-04-18,1.710
2002-04-19,1.670
2002-04-20,1.670
2002-04-21,1.670
2002-04-22,1.730
2002-04-23,1.710
2002-04-24,1.760
2002-04-25,1.820
2002-04-26,1.790
2002-04-27,1.790
2002-04-28,1.790
2002-04-29,1.810
2002-04-30,1.820
2002-05-01,1.880
2002-05-02,1.790
2002-05-03,1.730
2002-05-04,1.730
2002-05-05,1.730
2002-05-06,1.750
2002-05-07,1.720
2002-05-08,1.710
2002-05-09,1.740
2002-05-10,1.740
2002-05-11,1.740
2002-05-12,1.740
2002-05-13,1.750
2002-05-14,1.690
2002-05-15,1.840
2002-05-16,1.760
2002-05-17,1.700
2002-05-18,1.700
2002-05-19,1.700
2002-05-20,1.720
2002-05-21,1.680
2002-05-22,1.730
2002-05-23,1.760
2002-05-24,1.750
2002-05-25,1.750
2002-05-26,1.750
2002-05-27,1.750
2002-05-28,1.880
2002-05-29,1.790
2002-05-30,1.800
2002-05-31,1.790
2002-06-01,1.790
2002-06-02,1.790
2002-06-03,1.830
2002-06-04,1.730
2002-06-05,1.700
2002-06-06,1.750
2002-06-07,1.730
2002-06-08,1.730
2002-06-09,1.730
2002-06-10,1.760
2002-06-11,1.720
2002-06-12,1.750
2002-06-13,1.760
2002-06-14,1.750
2002-06-15,1.750
2002-06-16,1.750
2002-06-17,1.820
2002-06-18,1.710
2002-06-19,1.690
2002-06-20,1.750
2002-06-21,1.740
2002-06-22,1.740
2002-06-23,1.740
2002-06-24,1.770
2002-06-25,1.750
2002-06-26,1.780
2002-06-27,1.810
2002-06-28,1.730
2002-06-29,1.730
2002-06-30,1.730
2002-07-01,1.830
2002-07-02,1.720
2002-07-03,1.710
2002-07-04,1.710
2002-07-05,1.720
2002-07-06,1.720
2002-07-07,1.720
2002-07-08,1.750
2002-07-09,1.720
2002-07-10,1.740
2002-07-11,1.760
2002-07-12,1.710
2002-07-13,1.710
2002-07-14,1.710
2002-07-15,1.830
2002-07-16,1.720
2002-07-17,1.710
2002-07-18,1.740
2002-07-19,1.720
2002-07-20,1.720
2002-07-21,1.720
2002-07-22,1.770
2002-07-23,1.730
2002-07-24,1.670
2002-07-25,1.750
2002-07-26,1.690
2002-07-27,1.690
2002-07-28,1.690
2002-07-29,1.750
2002-07-30,1.710
2002-07-31,1.760
2002-08-01,1.790
2002-08-02,1.720
2002-08-03,1.720
2002-08-04,1.720
2002-08-05,1.770
2002-08-06,1.740
2002-08-07,1.710
2002-08-08,1.710
2002-08-09,1.680
2002-08-10,1.680
2002-08-11,1.680
2002-08-12,1.760
2002-08-13,1.740
2002-08-14,1.780
2002-08-15,1.870
2002-08-16,1.700
2002-08-17,1.700
2002-08-18,1.700
2002-08-19,1.720
2002-08-20,1.700
2002-08-21,1.720
2002-08-22,1.730
2002-08-23,1.720
2002-08-24,1.720
2002-08-25,1.720
2002-08-26,1.810
2002-08-27,1.790
2002-08-28,1.800
2002-08-29,1.820
2002-08-30,1.810
2002-08-31,1.810
2002-09-01,1.810
2002-09-02,1.810
2002-09-03,1.870
2002-09-04,1.740
2002-09-05,1.750
2002-09-06,1.710
2002-09-07,1.710
2002-09-08,1.710
2002-09-09,1.760
2002-09-10,1.740
2002-09-11,1.720
2002-09-12,1.740
2002-09-13,1.720
2002-09-14,1.720
2002-09-15,1.720
2002-09-16,1.830
2002-09-17,1.720
2002-09-18,1.680
2002-09-19,1.690
2002-09-20,1.700
2002-09-21,1.700
2002-09-22,1.700
2002-09-23,1.740
2002-09-24,1.750
2002-09-25,1.790
2002-09-26,1.800
2002-09-27,1.780
2002-09-28,1.780
2002-09-29,1.780
2002-09-30,1.850
2002-10-01,1.850
2002-10-02,1.750
2002-10-03,1.760
2002-10-04,1.720
2002-10-05,1.720
2002-10-06,1.720
2002-10-07,1.740
2002-10-08,1.720
2002-10-09,1.730
2002-10-10,1.750
2002-10-11,1.730
2002-10-12,1.730
2002-10-13,1.730
2002-10-14,1.730
2002-10-15,1.880
2002-10-16,1.730
2002-10-17,1.740
2002-10-18,1.710
2002-10-19,1.710
2002-10-20,1.710
2002-10-21,1.730
2002-10-22,1.710
2002-10-23,1.760
2002-10-24,1.800
2002-10-25,1.820
2002-10-26,1.820
2002-10-27,1.820
2002-10-28,1.790
2002-10-29,1.750
2002-10-30,1.720
2002-10-31,1.820
2002-11-01,1.740
2002-11-02,1.740
2002-11-03,1.740
2002-11-04,1.710
2002-11-05,1.640
2002-11-06,1.480
2002-11-07,1.270
2002-11-08,1.180
2002-11-09,1.180
2002-11-10,1.180
2002-11-11,1.180
2002-11-12,1.290
2002-11-13,1.170
2002-11-14,1.290
2002-11-15,1.350
2002-11-16,1.350
2002-11-17,1.350
2002-11-18,1.210
2002-11-19,1.200
2002-11-20,1.230
2002-11-21,1.270
2002-11-22,1.250
2002-11-23,1.250
2002-11-24,1.250
2002-11-25,1.320
2002-11-26,1.260
2002-11-27,1.270
2002-11-28,1.270
2002-11-29,1.230
2002-11-30,1.230
2002-12-01,1.230
2002-12-02,1.270
2002-12-03,1.240
2002-12-04,1.230
2002-12-05,1.240
2002-12-06,1.210
2002-12-07,1.210
2002-12-08,1.210
2002-12-09,1.220
2002-12-10,1.220
2002-12-11,1.290
2002-12-12,1.290
2002-12-13,1.250
2002-12-14,1.250
2002-12-15,1.250
2002-12-16,1.360
2002-12-17,1.260
2002-12-18,1.250
2002-12-19,1.280
2002-12-20,1.260
2002-12-21,1.260
2002-12-22,1.260
2002-12-23,1.280
2002-12-24,1.150
2002-12-25,1.150
2002-12-26,1.280
2002-12-27,1.200
2002-12-28,1.200
2002-12-29,1.200
2002-12-30,1.230
2002-12-31,1.160
2003-01-01,1.160
2003-01-02,1.300
2003-01-03,1.120
2003-01-04,1.120
2003-01-05,1.120
2003-01-06,1.220
2003-01-07,1.200
2003-01-08,1.290
2003-01-09,1.290
2003-01-10,1.250
2003-01-11,1.250
2003-01-12,1.250
2003-01-13,1.260
2003-01-14,1.240
2003-01-15,1.300
2003-01-16,1.240
2003-01-17,1.200
2003-01-18,1.200
2003-01-19,1.200
2003-01-20,1.200
2003-01-21,1.310
2003-01-22,1.260
2003-01-23,1.270
2003-01-24,1.210
2003-01-25,1.210
2003-01-26,1.210
2003-01-27,1.300
2003-01-28,1.230
2003-01-29,1.260
2003-01-30,1.290
2003-01-31,1.330
2003-02-01,1.330
2003-02-02,1.330
2003-02-03,1.300
2003-02-04,1.210
2003-02-05,1.210
2003-02-06,1.230
2003-02-07,1.210
2003-02-08,1.210
2003-02-09,1.210
2003-02-10,1.250
2003-02-11,1.220
2003-02-12,1.230
2003-02-13,1.280
2003-02-14,1.300
2003-02-15,1.300
2003-02-16,1.300
2003-02-17,1.300
2003-02-18,1.350
2003-02-19,1.240
2003-02-20,1.250
2003-02-21,1.210
2003-02-22,1.210
2003-02-23,1.210
2003-02-24,1.250
2003-02-25,1.280
2003-02-26,1.280
2003-02-27,1.310
2003-02-28,1.330
2003-03-01,1.330
2003-03-02,1.330
2003-03-03,1.330
2003-03-04,1.200
2003-03-05,1.220
2003-03-06,1.230
2003-03-07,1.200
2003-03-08,1.200
2003-03-09,1.200
2003-03-10,1.230
2003-03-11,1.210
2003-03-12,1.230
2003-03-13,1.310
2003-03-14,1.300
2003-03-15,1.300
2003-03-16,1.300
2003-03-17,1.310
2003-03-18,1.200
2003-03-19,1.200
2003-03-20,1.230
2003-03-21,1.200
2003-03-22,1.200
2003-03-23,1.200
2003-03-24,1.230
2003-03-25,1.240
2003-03-26,1.260
2003-03-27,1.290
2003-03-28,1.260
2003-03-29,1.260
2003-03-30,1.260
2003-03-31,1.380
2003-04-01,1.290
2003-04-02,1.190
2003-04-03,1.240
2003-04-04,1.220
2003-04-05,1.220
2003-04-06,1.220
2003-04-07,1.250
2003-04-08,1.220
2003-04-09,1.240
2003-04-10,1.270
2003-04-11,1.240
2003-04-12,1.240
2003-04-13,1.240
2003-04-14,1.320
2003-04-15,1.340
2003-04-16,1.260
2003-04-17,1.280
2003-04-18,1.240
2003-04-19,1.240
2003-04-20,1.240
2003-04-21,1.290
2003-04-22,1.260
2003-04-23,1.240
2003-04-24,1.240
2003-04-25,1.280
2003-04-26,1.280
2003-04-27,1.280
2003-04-28,1.290
2003-04-29,1.270
2003-04-30,1.310
2003-05-01,1.300
2003-05-02,1.240
2003-05-03,1.240
2003-05-04,1.240
2003-05-05,1.270
2003-05-06,1.280
2003-05-07,1.280
2003-05-08,1.270
2003-05-09,1.240
2003-05-10,1.240
2003-05-11,1.240
2003-05-12,1.250
2003-05-13,1.230
2003-05-14,1.300
2003-05-15,1.360
2003-05-16,1.260
2003-05-17,1.260
2003-05-18,1.260
2003-05-19,1.260
2003-05-20,1.230
2003-05-21,1.230
2003-05-22,1.250
2003-05-23,1.210
2003-05-24,1.210
2003-05-25,1.210
2003-05-26,1.210
2003-05-27,1.320
2003-05-28,1.290
2003-05-29,1.290
2003-05-30,1.280
2003-05-31,1.280
2003-06-01,1.280
2003-06-02,1.270
2003-06-03,1.210
2003-06-04,1.220
2003-06-05,1.260
2003-06-06,1.240
2003-06-07,1.240
2003-06-08,1.240
2003-06-09,1.250
2003-06-10,1.220
2003-06-11,1.250
2003-06-12,1.250
2003-06-13,1.240
2003-06-14,1.240
2003-06-15,1.240
2003-06-16,1.330
2003-06-17,1.240
2003-06-18,1.220
2003-06-19,1.220
2003-06-20,1.230
2003-06-21,1.230
2003-06-22,1.230
2003-06-23,1.210
2003-06-24,1.150
2003-06-25,1.180
2003-06-26,1.100
2003-06-27,1.080
2003-06-28,1.080
2003-06-29,1.080
2003-06-30,1.450
2003-07-01,1.110
2003-07-02,1.010
2003-07-03,0.960
2003-07-04,0.960
2003-07-05,0.960
2003-07-06,0.960
2003-07-07,1.000
2003-07-08,0.930
2003-07-09,0.960
2003-07-10,1.000
2003-07-11,0.980
2003-07-12,0.980
2003-07-13,0.980
2003-07-14,1.070
2003-07-15,1.130
2003-07-16,1.010
2003-07-17,1.020
2003-07-18,0.990
2003-07-19,0.990
2003-07-20,0.990
2003-07-21,1.020
2003-07-22,1.000
2003-07-23,1.050
2003-07-24,1.040
2003-07-25,1.030
2003-07-26,1.030
2003-07-27,1.030
2003-07-28,1.050
2003-07-29,1.040
2003-07-30,1.030
2003-07-31,1.040
2003-08-01,1.000
2003-08-02,1.000
2003-08-03,1.000
2003-08-04,1.000
2003-08-05,0.860
2003-08-06,0.880
2003-08-07,0.950
2003-08-08,0.960
2003-08-09,0.960
2003-08-10,0.960
2003-08-11,1.020
2003-08-12,0.990
2003-08-13,1.010
2003-08-14,1.220
2003-08-15,1.390
2003-08-16,1.390
2003-08-17,1.390
2003-08-18,1.030
2003-08-19,0.930
2003-08-20,0.890
2003-08-21,1.010
2003-08-22,0.990
2003-08-23,0.990
2003-08-24,0.990
2003-08-25,1.040
2003-08-26,1.000
2003-08-27,0.980
2003-08-28,1.040
2003-08-29,1.010
2003-08-30,1.010
2003-08-31,1.010
2003-09-01,1.010
2003-09-02,1.060
2003-09-03,0.960
2003-09-04,0.980
2003-09-05,0.960
2003-09-06,0.960
2003-09-07,0.960
2003-09-08,0.990
2003-09-09,0.950
2003-09-10,0.950
2003-09-11,1.000
2003-09-12,1.020
2003-09-13,1.020
2003-09-14,1.020
2003-09-15,1.110
2003-09-16,0.970
2003-09-17,0.970
2003-09-18,1.000
2003-09-19,0.990
2003-09-20,0.990
2003-09-21,0.990
2003-09-22,1.020
2003-09-23,1.010
2003-09-24,1.030
2003-09-25,1.080
2003-09-26,1.030
2003-09-27,1.030
2003-09-28,1.030
2003-09-29,1.040
2003-09-30,1.170
2003-10-01,1.110
2003-10-02,1.020
2003-10-03,0.990
2003-10-04,0.990
2003-10-05,0.990
2003-10-06,0.990
2003-10-07,0.980
2003-10-08,0.990
2003-10-09,1.020
2003-10-10,1.000
2003-10-11,1.000
2003-10-12,1.000
2003-10-13,1.000
2003-10-14,1.080
2003-10-15,1.090
2003-10-16,1.040
2003-10-17,0.980
2003-10-18,0.980
2003-10-19,0.980
2003-10-20,1.020
2003-10-21,0.990
2003-10-22,0.990
2003-10-23,1.020
2003-10-24,1.010
2003-10-25,1.010
2003-10-26,1.010
2003-10-27,1.030
2003-10-28,0.980
2003-10-29,0.970
2003-10-30,1.020
2003-10-31,1.030
2003-11-01,1.030
2003-11-02,1.030
2003-11-03,1.020
2003-11-04,0.980
2003-11-05,0.980
2003-11-06,1.000
2003-11-07,0.980
2003-11-08,0.980
2003-11-09,0.980
2003-11-10,0.990
2003-11-11,0.990
2003-11-12,1.000
2003-11-13,0.990
2003-11-14,0.980
2003-11-15,0.980
2003-11-16,0.980
2003-11-17,1.040
2003-11-18,0.980
2003-11-19,0.980
2003-11-20,1.000
2003-11-21,0.980
2003-11-22,0.980
2003-11-23,0.980
2003-11-24,0.980
2003-11-25,1.020
2003-11-26,1.010
2003-11-27,1.010
2003-11-28,1.010
2003-11-29,1.010
2003-11-30,1.010
2003-12-01,1.030
2003-12-02,0.970
2003-12-03,0.980
2003-12-04,0.990
2003-12-05,0.980
2003-12-06,0.980
2003-12-07,0.980
2003-12-08,0.990
2003-12-09,0.970
2003-12-10,0.990
2003-12-11,0.990
2003-12-12,0.990
2003-12-13,0.990
2003-12-14,0.990
2003-12-15,1.040
2003-12-16,0.990
2003-12-17,0.990
2003-12-18,1.010
2003-12-19,0.980
2003-12-20,0.980
2003-12-21,0.980
2003-12-22,1.020
2003-12-23,1.000
2003-12-24,0.970
2003-12-25,0.970
2003-12-26,0.970
2003-12-27,0.970
2003-12-28,0.970
2003-12-29,0.980
2003-12-30,0.930
2003-12-31,0.940
2004-01-01,0.940
2004-01-02,1.010
2004-01-03,1.010
2004-01-04,1.010
2004-01-05,0.970
2004-01-06,0.920
2004-01-07,0.940
2004-01-08,0.990
2004-01-09,0.990
2004-01-10,0.990
2004-01-11,0.990
2004-01-12,1.000
2004-01-13,0.990
2004-01-14,1.010
2004-01-15,1.040
2004-01-16,0.980
2004-01-17,0.980
2004-01-18,0.980
2004-01-19,0.980
2004-01-20,1.020
2004-01-21,1.000
2004-01-22,1.020
2004-01-23,1.000
2004-01-24,1.000
2004-01-25,1.000
2004-01-26,1.080
2004-01-27,1.020
2004-01-28,0.990
2004-01-29,1.000
2004-01-30,1.030
2004-01-31,1.030
2004-02-01,1.030
2004-02-02,1.010
2004-02-03,0.970
2004-02-04,1.000
2004-02-05,1.010
2004-02-06,0.990
2004-02-07,0.990
2004-02-08,0.990
2004-02-09,1.010
2004-02-10,1.000
2004-02-11,1.000
2004-02-12,1.020
2004-02-13,1.010
2004-02-14,1.010
2004-02-15,1.010
2004-02-16,1.010
2004-02-17,1.020
2004-02-18,1.000
2004-02-19,1.000
2004-02-20,0.990
2004-02-21,0.990
2004-02-22,0.990
2004-02-23,1.000
2004-02-24,0.990
2004-02-25,1.020
2004-02-26,1.030
2004-02-27,1.040
2004-02-28,1.040
2004-02-29,1.040
2004-03-01,1.040
2004-03-02,1.000
2004-03-03,1.000
2004-03-04,0.990
2004-03-05,1.000
2004-03-06,1.000
2004-03-07,1.000
2004-03-08,1.000
2004-03-09,0.990
2004-03-10,1.000
2004-03-11,1.010
2004-03-12,0.990
2004-03-13,0.990
2004-03-14,0.990
2004-03-15,1.050
2004-03-16,0.990
2004-03-17,1.000
2004-03-18,1.000
2004-03-19,0.990
2004-03-20,0.990
2004-03-21,0.990
2004-03-22,1.010
2004-03-23,0.990
2004-03-24,0.990
2004-03-25,1.020
2004-03-26,1.000
2004-03-27,1.000
2004-03-28,1.000
2004-03-29,1.000
2004-03-30,0.980
2004-03-31,1.050
2004-04-01,1.030
2004-04-02,1.000
2004-04-03,1.000
2004-04-04,1.000
2004-04-05,1.010
2004-04-06,1.000
2004-04-07,1.000
2004-04-08,1.020
2004-04-09,1.010
2004-04-10,1.010
2004-04-11,1.010
2004-04-12,1.000
2004-04-13,1.000
2004-04-14,1.010
2004-04-15,1.030
2004-04-16,0.990
2004-04-17,0.990
2004-04-18,0.990
2004-04-19,1.000
2004-04-20,0.990
2004-04-21,0.990
2004-04-22,1.000
2004-04-23,0.990
2004-04-24,0.990
2004-04-25,0.990
2004-04-26,1.010
2004-04-27,0.990
2004-04-28,1.010
2004-04-29,1.030
2004-04-30,1.030
2004-05-01,1.030
2004-05-02,1.030
2004-05-03,1.030
2004-05-04,1.000
2004-05-05,0.990
2004-05-06,1.000
2004-05-07,0.990
2004-05-08,0.990
2004-05-09,0.990
2004-05-10,1.000
2004-05-11,0.960
2004-05-12,0.980
2004-05-13,1.000
2004-05-14,1.020
2004-05-15,1.020
2004-05-16,1.020
2004-05-17,1.050
2004-05-18,1.000
2004-05-19,1.000
2004-05-20,1.000
2004-05-21,0.990
2004-05-22,0.990
2004-05-23,0.990
2004-05-24,1.000
2004-05-25,1.000
2004-05-26,0.990
2004-05-27,1.000
2004-05-28,1.020
2004-05-29,1.020
2004-05-30,1.020
2004-05-31,1.020
2004-06-01,1.020
2004-06-02,0.980
2004-06-03,0.990
2004-06-04,0.990
2004-06-05,0.990
2004-06-06,0.990
2004-06-07,0.990
2004-06-08,0.970
2004-06-09,0.990
2004-06-10,1.000
2004-06-11,1.000
2004-06-12,1.000
2004-06-13,1.000
2004-06-14,1.020
2004-06-15,1.030
2004-06-16,1.000
2004-06-17,1.010
2004-06-18,1.000
2004-06-19,1.000
2004-06-20,1.000
2004-06-21,1.000
2004-06-22,1.000
2004-06-23,1.020
2004-06-24,1.030
2004-06-25,1.050
2004-06-26,1.050
2004-06-27,1.050
2004-06-28,1.090
2004-06-29,1.130
2004-06-30,1.380
2004-07-01,1.400
2004-07-02,1.250
2004-07-03,1.250
2004-07-04,1.250
2004-07-05,1.250
2004-07-06,1.300
2004-07-07,1.260
2004-07-08,1.260
2004-07-09,1.240
2004-07-10,1.240
2004-07-11,1.240
2004-07-12,1.260
2004-07-13,1.240
2004-07-14,1.240
2004-07-15,1.300
2004-07-16,1.240
2004-07-17,1.240
2004-07-18,1.240
2004-07-19,1.250
2004-07-20,1.250
2004-07-21,1.250
2004-07-22,1.260
2004-07-23,1.250
2004-07-24,1.250
2004-07-25,1.250
2004-07-26,1.270
2004-07-27,1.270
2004-07-28,1.290
2004-07-29,1.300
2004-07-30,1.290
2004-07-31,1.290
2004-08-01,1.290
2004-08-02,1.280
2004-08-03,1.240
2004-08-04,1.220
2004-08-05,1.300
2004-08-06,1.320
2004-08-07,1.320
2004-08-08,1.320
2004-08-09,1.350
2004-08-10,1.430
2004-08-11,1.500
2004-08-12,1.510
2004-08-13,1.480
2004-08-14,1.480
2004-08-15,1.480
2004-08-16,1.430
2004-08-17,1.200
2004-08-18,1.390
2004-08-19,1.500
2004-08-20,1.500
2004-08-21,1.500
2004-08-22,1.500
2004-08-23,1.510
2004-08-24,1.510
2004-08-25,1.550
2004-08-26,1.550
2004-08-27,1.520
2004-08-28,1.520
2004-08-29,1.520
2004-08-30,1.540
2004-08-31,1.550
2004-09-01,1.530
2004-09-02,1.510
2004-09-03,1.480
2004-09-04,1.480
2004-09-05,1.480
2004-09-06,1.480
2004-09-07,1.540
2004-09-08,1.510
2004-09-09,1.490
2004-09-10,1.480
2004-09-11,1.480
2004-09-12,1.480
2004-09-13,1.510
2004-09-14,1.400
2004-09-15,1.570
2004-09-16,1.610
2004-09-17,1.580
2004-09-18,1.580
2004-09-19,1.580
2004-09-20,1.640
2004-09-21,1.700
2004-09-22,1.780
2004-09-23,1.800
2004-09-24,1.760
2004-09-25,1.760
2004-09-26,1.760
2004-09-27,1.760
2004-09-28,1.720
2004-09-29,1.760
2004-09-30,1.940
2004-10-01,1.860
2004-10-02,1.860
2004-10-03,1.860
2004-10-04,1.770
2004-10-05,1.730
2004-10-06,1.740
2004-10-07,1.760
2004-10-08,1.710
2004-10-09,1.710
2004-10-10,1.710
2004-10-11,1.710
2004-10-12,1.780
2004-10-13,1.730
2004-10-14,1.770
2004-10-15,1.790
2004-10-16,1.790
2004-10-17,1.790
2004-10-18,1.730
2004-10-19,1.720
2004-10-20,1.740
2004-10-21,1.760
2004-10-22,1.720
2004-10-23,1.720
2004-10-24,1.720
2004-10-25,1.760
2004-10-26,1.720
2004-10-27,1.770
2004-10-28,1.790
2004-10-29,1.790
2004-10-30,1.790
2004-10-31,1.790
2004-11-01,1.830
2004-11-02,1.740
2004-11-03,1.730
2004-11-04,1.770
2004-11-05,1.760
2004-11-06,1.760
2004-11-07,1.760
2004-11-08,1.800
2004-11-09,1.790
2004-11-10,1.920
2004-11-11,1.920
2004-11-12,2.020
2004-11-13,2.020
2004-11-14,2.020
2004-11-15,2.060
2004-11-16,1.980
2004-11-17,1.990
2004-11-18,1.990
2004-11-19,1.990
2004-11-20,1.990
2004-11-21,1.990
2004-11-22,2.010
2004-11-23,2.000
2004-11-24,2.020
2004-11-25,2.020
2004-11-26,2.010
2004-11-27,2.010
2004-11-28,2.010
2004-11-29,2.030
2004-11-30,2.020
2004-12-01,2.040
2004-12-02,2.000
2004-12-03,1.980
2004-12-04,1.980
2004-12-05,1.980
2004-12-06,2.040
2004-12-07,1.990
2004-12-08,2.010
2004-12-09,2.050
2004-12-10,2.090
2004-12-11,2.090
2004-12-12,2.090
2004-12-13,2.180
2004-12-14,2.240
2004-12-15,2.310
2004-12-16,2.260
2004-12-17,2.230
2004-12-18,2.230
2004-12-19,2.230
2004-12-20,2.260
2004-12-21,2.240
2004-12-22,2.250
2004-12-23,2.340
2004-12-24,2.270
2004-12-25,2.270
2004-12-26,2.270
2004-12-27,2.240
2004-12-28,2.240
2004-12-29,2.230
2004-12-30,2.240
2004-12-31,1.970
2005-01-01,1.970
2005-01-02,1.970
2005-01-03,2.310
2005-01-04,2.250
2005-01-05,2.250
2005-01-06,2.250
2005-01-07,2.240
2005-01-08,2.240
2005-01-09,2.240
2005-01-10,2.260
2005-01-11,2.240
2005-01-12,2.250
2005-01-13,2.290
2005-01-14,2.290
2005-01-15,2.290
2005-01-16,2.290
2005-01-17,2.290
2005-01-18,2.310
2005-01-19,2.190
2005-01-20,2.250
2005-01-21,2.260
2005-01-22,2.260
2005-01-23,2.260
2005-01-24,2.260
2005-01-25,2.290
2005-01-26,2.330
2005-01-27,2.390
2005-01-28,2.480
2005-01-29,2.480
2005-01-30,2.480
2005-01-31,2.500
2005-02-01,2.400
2005-02-02,2.290
2005-02-03,2.490
2005-02-04,2.510
2005-02-05,2.510
2005-02-06,2.510
2005-02-07,2.500
2005-02-08,2.480
2005-02-09,2.500
2005-02-10,2.510
2005-02-11,2.500
2005-02-12,2.500
2005-02-13,2.500
2005-02-14,2.510
2005-02-15,2.530
2005-02-16,2.480
2005-02-17,2.500
2005-02-18,2.510
2005-02-19,2.510
2005-02-20,2.510
2005-02-21,2.510
2005-02-22,2.570
2005-02-23,2.530
2005-02-24,2.550
2005-02-25,2.540
2005-02-26,2.540
2005-02-27,2.540
2005-02-28,2.520
2005-03-01,2.390
2005-03-02,2.480
2005-03-03,2.510
2005-03-04,2.500
2005-03-05,2.500
2005-03-06,2.500
2005-03-07,2.510
2005-03-08,2.490
2005-03-09,2.500
2005-03-10,2.520
2005-03-11,2.510
2005-03-12,2.510
2005-03-13,2.510
2005-03-14,2.590
2005-03-15,2.610
2005-03-16,2.570
2005-03-17,2.680
2005-03-18,2.700
2005-03-19,2.700
2005-03-20,2.700
2005-03-21,2.710
2005-03-22,2.720
2005-03-23,2.730
2005-03-24,2.750
2005-03-25,2.800
2005-03-26,2.800
2005-03-27,2.800
2005-03-28,2.790
2005-03-29,2.720
2005-03-30,2.740
2005-03-31,2.960
2005-04-01,2.830
2005-04-02,2.830
2005-04-03,2.830
2005-04-04,2.780
2005-04-05,2.720
2005-04-06,2.730
2005-04-07,2.760
2005-04-08,2.750
2005-04-09,2.750
2005-04-10,2.750
2005-04-11,2.780
2005-04-12,2.770
2005-04-13,2.760
2005-04-14,2.790
2005-04-15,2.820
2005-04-16,2.820
2005-04-17,2.820
2005-04-18,2.750
2005-04-19,2.740
2005-04-20,2.740
2005-04-21,2.750
2005-04-22,2.740
2005-04-23,2.740
2005-04-24,2.740
2005-04-25,2.820
2005-04-26,2.780
2005-04-27,2.630
2005-04-28,2.890
2005-04-29,2.970
2005-04-30,2.970
2005-05-01,2.970
2005-05-02,2.980
2005-05-03,2.950
2005-05-04,2.990
2005-05-05,2.990
2005-05-06,2.980
2005-05-07,2.980
2005-05-08,2.980
2005-05-09,2.990
2005-05-10,2.990
2005-05-11,2.990
2005-05-12,3.010
2005-05-13,3.010
2005-05-14,3.010
2005-05-15,3.010
2005-05-16,3.060
2005-05-17,2.990
2005-05-18,3.000
2005-05-19,3.020
2005-05-20,3.010
2005-05-21,3.010
2005-05-22,3.010
2005-05-23,3.010
